"model_name","average_cross_ent_train","average_cross_ent_val","luke_cross_ent_train","luke_cross_ent_val"
"prev_rand_init-no_syns-10e-voc1-emb300",74.94454254320598,74.89287068515866,74.65432782497946,74.63465858567211
"rand_init-no_syns-10e-voc1-emb300",54.69706608034328,46.54419799442848,14.65759399825312,14.666007697661037
"rand_init-syns25-10e-voc1-emb300",52.59264468682036,43.8998402970655,14.025199998645318,14.03124966763025
"rand_init-syns16-10e-voc1-emb300",53.286789280222976,44.7500315933909,14.203970001074397,14.210707985214231
"w2v_init-no_syns-10e-voc1-emb300",11.01689478963398,10.745818605885031,10.039809724538635,10.04536373192392
"w2v_init-syns25-10e-voc1-emb300",10.774013530565172,10.535202071610934,9.943559820067957,9.949070725145903
"w2v_init-syns16-10e-voc1-emb300",10.831713560358832,10.58622054446671,9.972454939394776,9.977424295801772
